14:41:29.154	SERVER	admin	OK	Server was started (port: 1984).
17:52:58.230	127.0.0.1:50356	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.12 ms
17:52:58.235	127.0.0.1:50356	admin	OK	EXEC[0]	3.9 ms
17:52:58.235	127.0.0.1:50356	admin	OK	CLOSE[0]	0.07 ms
17:52:58.236	127.0.0.1:50356	admin	REQUEST	EXIT	0.31 ms
17:52:58.236	127.0.0.1:50356	admin	OK		0.13 ms
17:52:58.850	127.0.0.1:50357	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.16 ms
17:52:58.854	127.0.0.1:50357	admin	OK	EXEC[0]	3.72 ms
17:52:58.854	127.0.0.1:50357	admin	OK	CLOSE[0]	0.05 ms
17:52:58.854	127.0.0.1:50357	admin	REQUEST	EXIT	0.34 ms
17:52:58.855	127.0.0.1:50357	admin	OK		0.14 ms
17:52:59.148	127.0.0.1:50358	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.11 ms
17:52:59.152	127.0.0.1:50358	admin	OK	EXEC[0]	3.89 ms
17:52:59.152	127.0.0.1:50358	admin	OK	CLOSE[0]	0.06 ms
17:52:59.152	127.0.0.1:50358	admin	REQUEST	EXIT	0.35 ms
17:52:59.153	127.0.0.1:50358	admin	OK		0.14 ms
17:53:49.923	127.0.0.1:50362	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.12 ms
17:53:49.927	127.0.0.1:50362	admin	OK	EXEC[0]	3.74 ms
17:53:49.928	127.0.0.1:50362	admin	OK	CLOSE[0]	0.07 ms
17:53:49.928	127.0.0.1:50362	admin	REQUEST	EXIT	0.39 ms
17:53:49.929	127.0.0.1:50362	admin	OK		0.14 ms
17:54:08.266	127.0.0.1:50367	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.13 ms
17:54:08.270	127.0.0.1:50367	admin	OK	EXEC[0]	3.84 ms
17:54:08.271	127.0.0.1:50367	admin	OK	CLOSE[0]	0.1 ms
17:54:08.271	127.0.0.1:50367	admin	REQUEST	EXIT	0.42 ms
17:54:08.271	127.0.0.1:50367	admin	OK		0.17 ms
17:54:20.168	127.0.0.1:50368	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.11 ms
17:54:20.171	127.0.0.1:50368	admin	OK	EXEC[0]	3.63 ms
17:54:20.172	127.0.0.1:50368	admin	OK	CLOSE[0]	0.06 ms
